ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co_applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
24891,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,206500,,,,360,not_neg,not_int,lpsm,,sb,pr,home,1U,4980,EQUI,552,EXP,55-64,to_inst,,North,direct,1,
24932,2019,cf,Male,nopre,type3,p4,l1,nopc,nob/c,466500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,0,EQUI,765,EXP,45-54,to_inst,,North,direct,1,
25039,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,656500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,8640,EQUI,880,EXP,35-44,to_inst,,North,direct,1,
25101,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,106500,,,,240,not_neg,not_int,lpsm,,sb,pr,home,1U,1680,EQUI,880,EXP,45-54,to_inst,,central,direct,1,
25110,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,406500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7560,EQUI,768,EXP,45-54,not_inst,,North,direct,1,
25131,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,316500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5640,EQUI,571,EXP,>74,to_inst,,North,direct,1,
25187,2019,cf,Male,nopre,type3,p1,l1,nopc,nob/c,266500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3840,EQUI,529,EXP,55-64,not_inst,,North,direct,1,
25199,2019,cf,Male,nopre,type1,p1,l2,nopc,nob/c,336500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,7200,EQUI,572,EXP,45-54,to_inst,,south,direct,1,
25214,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,726500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,9660,EQUI,896,EXP,35-44,not_inst,,south,direct,1,
25251,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,336500,,,,360,not_neg,int_only,not_lpsm,,sb,pr,home,1U,5100,EQUI,719,EXP,25-34,not_inst,,North,direct,1,
25255,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,446500,,,,324,not_neg,int_only,not_lpsm,,sb,pr,home,1U,11400,EQUI,850,EXP,45-54,not_inst,,south,direct,1,
25291,2019,cf,Male,pre,type2,p3,l1,nopc,b/c,266500,,,,180,not_neg,not_int,not_lpsm,,sb,pr,home,1U,11160,EQUI,635,EXP,35-44,to_inst,,North,direct,1,
25305,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,306500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,5040,EQUI,723,EXP,25-34,to_inst,,North,direct,1,
25311,2019,cf,Male,pre,type1,p4,l1,nopc,nob/c,486500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,12660,EQUI,605,EXP,45-54,not_inst,,south,direct,1,
25340,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,266500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3540,EQUI,692,EXP,65-74,to_inst,,North,direct,1,
25355,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,496500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,12360,EQUI,544,EXP,45-54,not_inst,,North,direct,1,
25416,2019,cf,Male,nopre,type1,p4,l2,nopc,nob/c,166500,,,,144,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5760,EQUI,585,EXP,65-74,to_inst,,North,direct,1,
25419,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,156500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3960,EQUI,727,EXP,>74,to_inst,,North,direct,1,
25457,2019,cf,Male,nopre,type3,p3,l1,nopc,nob/c,206500,,,,180,not_neg,not_int,not_lpsm,,sb,pr,home,1U,11640,EQUI,857,EXP,45-54,to_inst,,North,direct,1,
25476,2019,cf,Male,nopre,type2,p4,l1,nopc,b/c,216500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,0,EQUI,626,EXP,25-34,not_inst,,central,direct,1,
25520,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,256500,,,,240,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6300,EQUI,828,EXP,35-44,to_inst,,North,direct,1,
25532,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,226500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,3240,EQUI,692,EXP,>74,to_inst,,North,direct,1,
25550,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,326500,,,,360,not_neg,not_int,lpsm,,sb,ir,home,1U,15780,EQUI,817,EXP,35-44,not_inst,,south,direct,1,
25627,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,96500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,5100,EQUI,604,EXP,45-54,to_inst,,North,direct,1,
25640,2019,cf,Male,pre,type3,p3,l1,nopc,nob/c,306500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,3480,EQUI,527,EXP,65-74,to_inst,,North,direct,1,
25646,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,256500,,,,360,neg_amm,not_int,not_lpsm,,sb,pr,home,1U,4440,EQUI,539,EXP,55-64,to_inst,,North,direct,1,
25675,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,376500,,,,360,not_neg,not_int,not_lpsm,,sb,pr,home,1U,6540,EQUI,873,EXP,55-64,to_inst,,North,direct,1,
